



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 0 | running with 192 threads | 192 trajectories to sample...
rank 16 | running with 192 threads | 192 trajectories to sample...
rank 24 | running with 192 threads | 192 trajectories to sample...
rank 8 | running with 192 threads | 192 trajectories to sample...
rank 17 | running with 192 threads | 192 trajectories to sample...
rank 15 | running with 192 threads | 192 trajectories to sample...
rank 18 | running with 192 threads | 192 trajectories to sample...
rank 22 | running with 192 threads | 192 trajectories to sample...
rank 11 | running with 192 threads | 192 trajectories to sample...
rank 25 | running with 192 threads | 192 trajectories to sample...
rank 1 | running with 192 threads | 192 trajectories to sample...
rank 7 | running with 192 threads | 192 trajectories to sample...
rank 14 | running with 192 threads | 192 trajectories to sample...
rank 20 | running with 192 threads | 192 trajectories to sample...
rank 6 | running with 192 threads | 192 trajectories to sample...
rank 4 | running with 192 threads | 192 trajectories to sample...
rank 21 | running with 192 threads | 192 trajectories to sample...
rank 23 | running with 192 threads | 192 trajectories to sample...
rank 5 | running with 192 threads | 192 trajectories to sample...
rank 19 | running with 192 threads | 192 trajectories to sample...
rank 9 | running with 192 threads | 192 trajectories to sample...
rank 13 | running with 192 threads | 192 trajectories to sample...
rank 12 | running with 192 threads | 192 trajectories to sample...
rank 2 | running with 192 threads | 192 trajectories to sample...
rank 10 | running with 192 threads | 192 trajectories to sample...
rank 3 | running with 192 threads | 192 trajectories to sample...
rank 1 | trajectory 187 of circuit 1 -- done
rank 1 | trajectory 132 of circuit 1 -- done
rank 1 | trajectory 177 of circuit 1 -- done
rank 1 | trajectory 188 of circuit 1 -- done
rank 22 | trajectory 7 of circuit 1 -- done
rank 22 | trajectory 51 of circuit 2 -- done
rank 22 | trajectory 63 of circuit 2 -- done
rank 6 | trajectory 4 of circuit 1 -- done
rank 1 | trajectory 15 of circuit 2 -- done
rank 1 | trajectory 20 of circuit 1 -- done
rank 6 | trajectory 55 of circuit 1 -- done
rank 1 | trajectory 39 of circuit 1 -- done
rank 15 | trajectory 169 of circuit 1 -- done
rank 1 | trajectory 42 of circuit 1 -- done
rank 6 | trajectory 97 of circuit 1 -- done
rank 1 | trajectory 148 of circuit 1 -- done
rank 14 | trajectory 140 of circuit 1 -- done
rank 13 | trajectory 127 of circuit 1 -- done
rank 22 | trajectory 103 of circuit 1 -- done
rank 13 | trajectory 43 of circuit 1 -- done
rank 22 | trajectory 34 of circuit 1 -- done
rank 1 | trajectory 110 of circuit 2 -- done
rank 1 | trajectory 7 of circuit 3 -- done
rank 1 | trajectory 88 of circuit 3 -- done
rank 15 | trajectory 121 of circuit 1 -- done
rank 13 | trajectory 38 of circuit 2 -- done
rank 13 | trajectory 113 of circuit 1 -- done
rank 12 | trajectory 83 of circuit 1 -- done
rank 2 | trajectory 62 of circuit 1 -- done
rank 17 | trajectory 131 of circuit 1 -- done
rank 3 | trajectory 65 of circuit 1 -- done
rank 2 | trajectory 191 of circuit 1 -- done
rank 22 | trajectory 99 of circuit 3 -- done
rank 22 | trajectory 96 of circuit 2 -- done
rank 2 | trajectory 42 of circuit 2 -- done
rank 13 | trajectory 50 of circuit 2 -- done
rank 22 | trajectory 2 of circuit 1 -- done
rank 22 | trajectory 70 of circuit 3 -- done
rank 1 | trajectory 17 of circuit 2 -- done
rank 15 | trajectory 18 of circuit 2 -- done
