



---------------------------------------------
start:2024-07-05T00:07:28.471
---------------------------------------------




rank 0 | running with 192 threads | 461 trajectories to sample...
rank 21 | running with 192 threads | 460 trajectories to sample...
rank 1 | running with 192 threads | 461 trajectories to sample...
rank 11 | running with 192 threads | 461 trajectories to sample...
rank 22 | running with 192 threads | 460 trajectories to sample...
rank 20 | running with 192 threads | 460 trajectories to sample...
rank 8 | running with 192 threads | 461 trajectories to sample...
rank 14 | running with 192 threads | 461 trajectories to sample...
rank 15 | running with 192 threads | 461 trajectories to sample...
rank 23 | running with 192 threads | 460 trajectories to sample...
rank 12 | running with 192 threads | 461 trajectories to sample...
rank 7 | running with 192 threads | 461 trajectories to sample...
rank 5 | running with 192 threads | 461 trajectories to sample...
rank 6 | running with 192 threads | 461 trajectories to sample...
rank 19 | running with 192 threads | 461 trajectories to sample...
rank 13 | running with 192 threads | 461 trajectories to sample...
rank 16 | running with 192 threads | 461 trajectories to sample...
rank 10 | running with 192 threads | 461 trajectories to sample...
rank 9 | running with 192 threads | 461 trajectories to sample...
rank 2 | running with 192 threads | 461 trajectories to sample...
rank 24 | running with 192 threads | 460 trajectories to sample...
rank 18 | running with 192 threads | 461 trajectories to sample...
rank 4 | running with 192 threads | 461 trajectories to sample...
rank 3 | running with 192 threads | 461 trajectories to sample...
rank 17 | running with 192 threads | 461 trajectories to sample...
rank 1 | trajectory 2609 of circuit 1 -- done
rank 24 | trajectory 334 of circuit 1 -- done
rank 22 | trajectory 233 of circuit 1 -- done
rank 15 | trajectory 3514 of circuit 2 -- done
rank 4 | trajectory 2077 of circuit 2 -- done
rank 22 | trajectory 3091 of circuit 1 -- done
rank 1 | trajectory 376 of circuit 1 -- done
rank 4 | trajectory 2394 of circuit 1 -- done
rank 4 | trajectory 3044 of circuit 2 -- done
rank 15 | trajectory 2131 of circuit 2 -- done
rank 7 | trajectory 28 of circuit 1 -- done
rank 1 | trajectory 2076 of circuit 2 -- done
rank 4 | trajectory 2960 of circuit 1 -- done
rank 4 | trajectory 2094 of circuit 1 -- done
rank 22 | trajectory 1758 of circuit 1 -- done
rank 1 | trajectory 1726 of circuit 2 -- done
rank 23 | trajectory 3058 of circuit 2 -- done
rank 4 | trajectory 1377 of circuit 2 -- done
rank 23 | trajectory 183 of circuit 1 -- done
rank 15 | trajectory 1306 of circuit 2 -- done
rank 24 | trajectory 2892 of circuit 1 -- done
rank 22 | trajectory 3525 of circuit 1 -- done
rank 4 | trajectory 2610 of circuit 1 -- done
rank 22 | trajectory 3408 of circuit 1 -- done
rank 19 | trajectory 32 of circuit 2 -- done
rank 4 | trajectory 2544 of circuit 2 -- done
rank 1 | trajectory 1201 of circuit 3 -- done
rank 23 | trajectory 1808 of circuit 1 -- done
rank 15 | trajectory 581 of circuit 1 -- done
rank 3 | trajectory 3493 of circuit 2 -- done
rank 15 | trajectory 2697 of circuit 1 -- done
rank 5 | trajectory 1002 of circuit 1 -- done
rank 7 | trajectory 178 of circuit 2 -- done
rank 15 | trajectory 1056 of circuit 2 -- done
rank 7 | trajectory 2778 of circuit 2 -- done
rank 22 | trajectory 258 of circuit 2 -- done
rank 23 | trajectory 433 of circuit 2 -- done
rank 4 | trajectory 3144 of circuit 1 -- done
rank 4 | trajectory 3760 of circuit 1 -- done
rank 22 | trajectory 1008 of circuit 3 -- done
rank 4 | trajectory 427 of circuit 1 -- done
rank 15 | trajectory 2764 of circuit 3 -- done
rank 11 | trajectory 954 of circuit 2 -- done
rank 20 | trajectory 2657 of circuit 1 -- done
rank 1 | trajectory 626 of circuit 2 -- done
rank 22 | trajectory 1808 of circuit 2 -- done
rank 1 | trajectory 2043 of circuit 1 -- done
rank 4 | trajectory 2010 of circuit 1 -- done
rank 4 | trajectory 3277 of circuit 1 -- done
rank 16 | trajectory 3614 of circuit 1 -- done
rank 13 | trajectory 2780 of circuit 1 -- done
rank 4 | trajectory 2327 of circuit 1 -- done
rank 16 | trajectory 2531 of circuit 1 -- done
rank 15 | trajectory 2464 of circuit 2 -- done
rank 4 | trajectory 3177 of circuit 2 -- done
rank 16 | trajectory 1281 of circuit 1 -- done
rank 13 | trajectory 3797 of circuit 2 -- done
rank 11 | trajectory 2346 of circuit 2 -- done
rank 3 | trajectory 3343 of circuit 2 -- done
rank 16 | trajectory 3831 of circuit 1 -- done
rank 21 | trajectory 3191 of circuit 2 -- done
rank 4 | trajectory 1027 of circuit 2 -- done
rank 15 | trajectory 2097 of circuit 1 -- done
rank 15 | trajectory 3364 of circuit 2 -- done
rank 4 | trajectory 702 of circuit 2 -- done
rank 23 | trajectory 3708 of circuit 2 -- done
rank 4 | trajectory 3210 of circuit 1 -- done
rank 4 | trajectory 1102 of circuit 2 -- done
rank 4 | trajectory 1852 of circuit 2 -- done
rank 24 | trajectory 109 of circuit 1 -- done
rank 4 | trajectory 2710 of circuit 1 -- done
rank 22 | trajectory 1558 of circuit 3 -- done
rank 11 | trajectory 1279 of circuit 2 -- done
rank 8 | trajectory 603 of circuit 1 -- done
rank 2 | trajectory 1201 of circuit 1 -- done
rank 4 | trajectory 3460 of circuit 1 -- done
rank 22 | trajectory 1858 of circuit 3 -- done
rank 13 | trajectory 2213 of circuit 1 -- done
rank 4 | trajectory 3077 of circuit 1 -- done
rank 17 | trajectory 2998 of circuit 1 -- done
rank 4 | trajectory 102 of circuit 1 -- done
rank 17 | trajectory 3281 of circuit 2 -- done
rank 13 | trajectory 1880 of circuit 1 -- done
rank 4 | trajectory 2494 of circuit 2 -- done
rank 4 | trajectory 1960 of circuit 3 -- done
rank 23 | trajectory 208 of circuit 3 -- done
rank 17 | trajectory 2398 of circuit 1 -- done
rank 22 | trajectory 3491 of circuit 1 -- done
rank 18 | trajectory 482 of circuit 2 -- done
rank 20 | trajectory 382 of circuit 1 -- done
rank 24 | trajectory 3359 of circuit 1 -- done
rank 1 | trajectory 1526 of circuit 3 -- done
rank 22 | trajectory 3591 of circuit 1 -- done
rank 21 | trajectory 2324 of circuit 2 -- done
rank 4 | trajectory 527 of circuit 1 -- done
rank 1 | trajectory 1126 of circuit 3 -- done
rank 15 | trajectory 181 of circuit 3 -- done
rank 12 | trajectory 2196 of circuit 1 -- done
rank 15 | trajectory 3231 of circuit 2 -- done
rank 4 | trajectory 2460 of circuit 2 -- done
rank 23 | trajectory 3392 of circuit 1 -- done
rank 15 | trajectory 3331 of circuit 3 -- done
rank 4 | trajectory 2194 of circuit 2 -- done
rank 22 | trajectory 408 of circuit 1 -- done
rank 24 | trajectory 3225 of circuit 2 -- done
rank 16 | trajectory 1856 of circuit 1 -- done
rank 21 | trajectory 1508 of circuit 2 -- done
rank 22 | trajectory 1258 of circuit 1 -- done
rank 2 | trajectory 3260 of circuit 3 -- done
rank 2 | trajectory 2360 of circuit 1 -- done
rank 24 | trajectory 3675 of circuit 1 -- done
rank 12 | trajectory 3346 of circuit 1 -- done
rank 17 | trajectory 1331 of circuit 1 -- done
rank 15 | trajectory 2231 of circuit 1 -- done
rank 4 | trajectory 1752 of circuit 2 -- done
rank 17 | trajectory 3631 of circuit 1 -- done
rank 15 | trajectory 1981 of circuit 3 -- done
rank 22 | trajectory 458 of circuit 1 -- done
rank 19 | trajectory 2815 of circuit 1 -- done
rank 12 | trajectory 2446 of circuit 1 -- done
rank 4 | trajectory 1152 of circuit 2 -- done
rank 7 | trajectory 3395 of circuit 1 -- done
rank 21 | trajectory 383 of circuit 1 -- done
rank 4 | trajectory 3260 of circuit 1 -- done
rank 4 | trajectory 827 of circuit 2 -- done
rank 1 | trajectory 176 of circuit 3 -- done
rank 20 | trajectory 1557 of circuit 2 -- done
rank 4 | trajectory 602 of circuit 1 -- done
rank 22 | trajectory 1233 of circuit 1 -- done
rank 16 | trajectory 306 of circuit 1 -- done
rank 16 | trajectory 2848 of circuit 2 -- done
rank 2 | trajectory 2926 of circuit 1 -- done
rank 16 | trajectory 331 of circuit 1 -- done
rank 4 | trajectory 852 of circuit 3 -- done
rank 15 | trajectory 1156 of circuit 1 -- done
rank 4 | trajectory 1227 of circuit 1 -- done
rank 12 | trajectory 3096 of circuit 2 -- done
rank 3 | trajectory 652 of circuit 2 -- done
rank 3 | trajectory 3043 of circuit 1 -- done
rank 2 | trajectory 1501 of circuit 1 -- done
rank 15 | trajectory 2831 of circuit 1 -- done
rank 19 | trajectory 82 of circuit 1 -- done
rank 20 | trajectory 2824 of circuit 2 -- done
rank 15 | trajectory 3481 of circuit 1 -- done
rank 22 | trajectory 1033 of circuit 1 -- done
rank 22 | trajectory 683 of circuit 1 -- done
rank 19 | trajectory 3265 of circuit 3 -- done
rank 17 | trajectory 1031 of circuit 1 -- done
rank 2 | trajectory 1051 of circuit 2 -- done
rank 7 | trajectory 2128 of circuit 1 -- done
rank 1 | trajectory 2376 of circuit 1 -- done
rank 0 | trajectory 3192 of circuit 1 -- done
rank 14 | trajectory 705 of circuit 1 -- done
rank 4 | trajectory 1427 of circuit 1 -- done
rank 17 | trajectory 156 of circuit 3 -- done
rank 16 | trajectory 2231 of circuit 2 -- done
rank 5 | trajectory 252 of circuit 1 -- done
rank 18 | trajectory 1632 of circuit 2 -- done
rank 22 | trajectory 8 of circuit 2 -- done
rank 4 | trajectory 1777 of circuit 3 -- done
rank 8 | trajectory 2678 of circuit 1 -- done
rank 5 | trajectory 2127 of circuit 1 -- done
rank 21 | trajectory 3708 of circuit 3 -- done
rank 4 | trajectory 2627 of circuit 3 -- done
rank 12 | trajectory 55 of circuit 2 -- done
rank 22 | trajectory 2358 of circuit 1 -- done
rank 15 | trajectory 3397 of circuit 2 -- done
rank 4 | trajectory 877 of circuit 3 -- done
rank 8 | trajectory 2462 of circuit 1 -- done
