┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-05-30T17:00:30.011
---------------------------------------------




rank 0 | running with 192 threads | 192 trajectories to sample...
rank 1 | running with 192 threads | 192 trajectories to sample...
rank 0 | trajectory 297 of circuit 1 -- done
rank 0 | trajectory 277 of circuit 1 -- done
rank 0 | trajectory 187 of circuit 1 -- done
rank 0 | trajectory 37 of circuit 1 -- done
rank 1 | trajectory 350 of circuit 1 -- done
rank 0 | trajectory 63 of circuit 1 -- done
rank 0 | trajectory 353 of circuit 1 -- done
rank 1 | trajectory 110 of circuit 1 -- done
rank 1 | trajectory 302 of circuit 1 -- done
rank 1 | trajectory 282 of circuit 1 -- done
rank 1 | trajectory 98 of circuit 1 -- done
rank 0 | trajectory 217 of circuit 1 -- done
rank 0 | trajectory 101 of circuit 1 -- done
rank 1 | trajectory 134 of circuit 1 -- done
rank 0 | trajectory 1 of circuit 1 -- done
rank 0 | trajectory 29 of circuit 1 -- done
rank 0 | trajectory 221 of circuit 1 -- done
rank 0 | trajectory 95 of circuit 1 -- done
rank 0 | trajectory 153 of circuit 1 -- done
rank 1 | trajectory 332 of circuit 1 -- done
rank 0 | trajectory 321 of circuit 1 -- done
rank 1 | trajectory 30 of circuit 1 -- done
rank 0 | trajectory 83 of circuit 1 -- done
rank 0 | trajectory 5 of circuit 1 -- done
rank 1 | trajectory 198 of circuit 1 -- done
rank 1 | trajectory 118 of circuit 1 -- done
rank 1 | trajectory 202 of circuit 1 -- done
rank 0 | trajectory 351 of circuit 1 -- done
rank 1 | trajectory 364 of circuit 1 -- done
rank 1 | trajectory 196 of circuit 1 -- done
rank 0 | trajectory 305 of circuit 1 -- done
rank 1 | trajectory 144 of circuit 1 -- done
rank 0 | trajectory 271 of circuit 1 -- done
rank 0 | trajectory 105 of circuit 1 -- done
rank 0 | trajectory 237 of circuit 1 -- done
rank 0 | trajectory 121 of circuit 1 -- done
rank 1 | trajectory 262 of circuit 1 -- done
rank 1 | trajectory 186 of circuit 1 -- done
rank 0 | trajectory 193 of circuit 1 -- done
rank 1 | trajectory 272 of circuit 1 -- done
rank 0 | trajectory 69 of circuit 1 -- done
rank 1 | trajectory 178 of circuit 1 -- done
rank 0 | trajectory 17 of circuit 1 -- done
rank 0 | trajectory 251 of circuit 1 -- done
rank 0 | trajectory 367 of circuit 1 -- done
rank 1 | trajectory 8 of circuit 1 -- done
rank 1 | trajectory 306 of circuit 1 -- done
rank 0 | trajectory 21 of circuit 1 -- done
rank 1 | trajectory 296 of circuit 1 -- done
rank 0 | trajectory 107 of circuit 1 -- done
rank 1 | trajectory 266 of circuit 1 -- done
rank 1 | trajectory 274 of circuit 1 -- done
rank 1 | trajectory 304 of circuit 1 -- done
rank 0 | trajectory 127 of circuit 1 -- done
rank 0 | trajectory 325 of circuit 1 -- done
rank 0 | trajectory 363 of circuit 1 -- done
rank 0 | trajectory 235 of circuit 1 -- done
rank 0 | trajectory 331 of circuit 1 -- done
rank 1 | trajectory 384 of circuit 1 -- done
rank 0 | trajectory 327 of circuit 1 -- done
rank 0 | trajectory 247 of circuit 1 -- done
rank 0 | trajectory 275 of circuit 1 -- done
rank 0 | trajectory 113 of circuit 1 -- done
rank 0 | trajectory 383 of circuit 1 -- done
rank 1 | trajectory 218 of circuit 1 -- done
rank 0 | trajectory 151 of circuit 1 -- done
rank 1 | trajectory 294 of circuit 1 -- done
rank 1 | trajectory 254 of circuit 1 -- done
rank 0 | trajectory 133 of circuit 1 -- done
rank 0 | trajectory 55 of circuit 1 -- done
rank 0 | trajectory 3 of circuit 1 -- done
rank 0 | trajectory 131 of circuit 1 -- done
rank 1 | trajectory 250 of circuit 1 -- done
rank 0 | trajectory 283 of circuit 1 -- done
rank 0 | trajectory 129 of circuit 1 -- done
rank 1 | trajectory 140 of circuit 1 -- done
rank 0 | trajectory 163 of circuit 1 -- done
rank 0 | trajectory 165 of circuit 1 -- done
rank 1 | trajectory 298 of circuit 1 -- done
rank 0 | trajectory 99 of circuit 1 -- done
rank 1 | trajectory 242 of circuit 1 -- done
rank 0 | trajectory 203 of circuit 1 -- done
rank 0 | trajectory 9 of circuit 1 -- done
rank 0 | trajectory 103 of circuit 1 -- done
rank 1 | trajectory 72 of circuit 1 -- done
rank 1 | trajectory 90 of circuit 1 -- done
rank 0 | trajectory 161 of circuit 1 -- done
rank 0 | trajectory 33 of circuit 1 -- done
rank 0 | trajectory 13 of circuit 1 -- done
rank 0 | trajectory 11 of circuit 1 -- done
rank 1 | trajectory 270 of circuit 1 -- done
rank 1 | trajectory 226 of circuit 1 -- done
rank 0 | trajectory 355 of circuit 1 -- done
rank 0 | trajectory 159 of circuit 1 -- done
rank 1 | trajectory 120 of circuit 1 -- done
rank 1 | trajectory 82 of circuit 1 -- done
rank 0 | trajectory 307 of circuit 1 -- done
rank 0 | trajectory 359 of circuit 1 -- done
rank 1 | trajectory 374 of circuit 1 -- done
rank 1 | trajectory 124 of circuit 1 -- done
rank 0 | trajectory 261 of circuit 1 -- done
rank 1 | trajectory 12 of circuit 1 -- done
rank 1 | trajectory 176 of circuit 1 -- done
rank 1 | trajectory 194 of circuit 1 -- done
rank 0 | trajectory 25 of circuit 1 -- done
