┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 0 | running with 192 threads | 384 trajectories to sample...
rank 48 | running with 192 threads | 384 trajectories to sample...
rank 33 | running with 192 threads | 384 trajectories to sample...
rank 32 | running with 192 threads | 384 trajectories to sample...
rank 44 | running with 192 threads | 384 trajectories to sample...
rank 41 | running with 192 threads | 384 trajectories to sample...
rank 37 | running with 192 threads | 384 trajectories to sample...
rank 47 | running with 192 threads | 384 trajectories to sample...
rank 49 | running with 192 threads | 384 trajectories to sample...
rank 46 | running with 192 threads | 384 trajectories to sample...
rank 24 | running with 192 threads | 384 trajectories to sample...
rank 43 | running with 192 threads | 384 trajectories to sample...
rank 36 | running with 192 threads | 384 trajectories to sample...
rank 35 | running with 192 threads | 384 trajectories to sample...
rank 30 | running with 192 threads | 384 trajectories to sample...
rank 27 | running with 192 threads | 384 trajectories to sample...
rank 20 | running with 192 threads | 384 trajectories to sample...
rank 14 | running with 192 threads | 384 trajectories to sample...
rank 18 | running with 192 threads | 384 trajectories to sample...
rank 42 | running with 192 threads | 384 trajectories to sample...
rank 26 | running with 192 threads | 384 trajectories to sample...
rank 6 | running with 192 threads | 384 trajectories to sample...
rank 7 | running with 192 threads | 384 trajectories to sample...
rank 10 | running with 192 threads | 384 trajectories to sample...
rank 34 | running with 192 threads | 384 trajectories to sample...
rank 13 | running with 192 threads | 384 trajectories to sample...
rank 17 | running with 192 threads | 384 trajectories to sample...
rank 3 | running with 192 threads | 384 trajectories to sample...
rank 39 | running with 192 threads | 384 trajectories to sample...
rank 25 | running with 192 threads | 384 trajectories to sample...
rank 31 | running with 192 threads | 384 trajectories to sample...
rank 45 | running with 192 threads | 384 trajectories to sample...
rank 21 | running with 192 threads | 384 trajectories to sample...
rank 29 | running with 192 threads | 384 trajectories to sample...
rank 9 | running with 192 threads | 384 trajectories to sample...
rank 4 | running with 192 threads | 384 trajectories to sample...
rank 12 | running with 192 threads | 384 trajectories to sample...
rank 40 | running with 192 threads | 384 trajectories to sample...
rank 19 | running with 192 threads | 384 trajectories to sample...
rank 38 | running with 192 threads | 384 trajectories to sample...
rank 22 | running with 192 threads | 384 trajectories to sample...
rank 16 | running with 192 threads | 384 trajectories to sample...
rank 23 | running with 192 threads | 384 trajectories to sample...
rank 28 | running with 192 threads | 384 trajectories to sample...
rank 15 | running with 192 threads | 384 trajectories to sample...
rank 5 | running with 192 threads | 384 trajectories to sample...
rank 1 | running with 192 threads | 384 trajectories to sample...
rank 8 | running with 192 threads | 384 trajectories to sample...
rank 11 | running with 192 threads | 384 trajectories to sample...
rank 2 | running with 192 threads | 384 trajectories to sample...
rank 22 | trajectory 191 of circuit 100 -- done
rank 22 | trajectory 107 of circuit 99 -- done
rank 22 | trajectory 37 of circuit 99 -- done
rank 22 | trajectory 101 of circuit 97 -- done
rank 22 | trajectory 70 of circuit 99 -- done
rank 22 | trajectory 43 of circuit 96 -- done
rank 22 | trajectory 154 of circuit 96 -- done
rank 17 | trajectory 119 of circuit 95 -- done
rank 9 | trajectory 145 of circuit 99 -- done
rank 22 | trajectory 119 of circuit 94 -- done
rank 27 | trajectory 143 of circuit 99 -- done
rank 17 | trajectory 182 of circuit 96 -- done
rank 22 | trajectory 178 of circuit 91 -- done
rank 8 | trajectory 164 of circuit 99 -- done
rank 13 | trajectory 69 of circuit 99 -- done
rank 4 | trajectory 174 of circuit 100 -- done
rank 22 | trajectory 173 of circuit 93 -- done
rank 9 | trajectory 146 of circuit 97 -- done
rank 27 | trajectory 7 of circuit 100 -- done
rank 26 | trajectory 47 of circuit 100 -- done
rank 33 | trajectory 64 of circuit 98 -- done
rank 22 | trajectory 23 of circuit 92 -- done
rank 26 | trajectory 176 of circuit 99 -- done
rank 9 | trajectory 167 of circuit 97 -- done
rank 16 | trajectory 80 of circuit 98 -- done
rank 34 | trajectory 71 of circuit 99 -- done
rank 4 | trajectory 156 of circuit 95 -- done
rank 27 | trajectory 54 of circuit 97 -- done
rank 22 | trajectory 155 of circuit 100 -- done
rank 18 | trajectory 93 of circuit 97 -- done
rank 28 | trajectory 145 of circuit 98 -- done
rank 13 | trajectory 90 of circuit 95 -- done
rank 26 | trajectory 158 of circuit 98 -- done
rank 9 | trajectory 7 of circuit 96 -- done
rank 41 | trajectory 66 of circuit 100 -- done
rank 46 | trajectory 54 of circuit 100 -- done
rank 4 | trajectory 18 of circuit 94 -- done
rank 34 | trajectory 62 of circuit 100 -- done
rank 28 | trajectory 70 of circuit 98 -- done
rank 16 | trajectory 5 of circuit 98 -- done
rank 27 | trajectory 1 of circuit 100 -- done
rank 18 | trajectory 149 of circuit 98 -- done
rank 9 | trajectory 11 of circuit 96 -- done
rank 25 | trajectory 177 of circuit 100 -- done
rank 8 | trajectory 35 of circuit 100 -- done
rank 16 | trajectory 183 of circuit 97 -- done
rank 33 | trajectory 126 of circuit 100 -- done
rank 33 | trajectory 173 of circuit 99 -- done
rank 28 | trajectory 141 of circuit 99 -- done
rank 16 | trajectory 46 of circuit 97 -- done
rank 26 | trajectory 170 of circuit 100 -- done
rank 29 | trajectory 137 of circuit 99 -- done
rank 34 | trajectory 25 of circuit 100 -- done
rank 18 | trajectory 187 of circuit 99 -- done
rank 17 | trajectory 166 of circuit 99 -- done
rank 34 | trajectory 171 of circuit 98 -- done
rank 10 | trajectory 13 of circuit 98 -- done
rank 22 | trajectory 100 of circuit 95 -- done
rank 25 | trajectory 179 of circuit 100 -- done
rank 41 | trajectory 59 of circuit 100 -- done
rank 16 | trajectory 66 of circuit 97 -- done
rank 37 | trajectory 159 of circuit 99 -- done
rank 33 | trajectory 29 of circuit 98 -- done
rank 22 | trajectory 151 of circuit 91 -- done
rank 17 | trajectory 138 of circuit 94 -- done
rank 4 | trajectory 105 of circuit 93 -- done
rank 11 | trajectory 185 of circuit 100 -- done
rank 18 | trajectory 113 of circuit 96 -- done
rank 22 | trajectory 74 of circuit 87 -- done
